Time,cpu_util_percent,mem_util_percent,net_in,net_out,disk_usage_percent
1603833000,17.27602737,87.1941613,1956495.5,48148124.5,0
1603833060,18.28567932,87.19288764,2596820.5,76174716,0
1603833120,17.81437504,87.19308531,1514360,44474413.5,0
1603833180,17.64806679,87.19668326,2143326.5,49729700.5,0.001666667
1603833240,17.3161957,87.20140129,1547215,50277879.5,0.001666472
1603833300,17.30010778,87.20424914,1733801,56481905.5,0.003333111
1603833360,17.51513984,87.20626985,1524194.5,52681449,0.005001
1603833420,17.05997993,87.20668747,1179680,50051899.5,0.001666694
1603833480,17.2789996,87.20366832,6903243,47046112,0.0049995
1603833540,17.23924904,87.20155942,1500749.5,61875706,0.001666806
1603833600,17.15997622,87.20163037,812418.5,50332683.5,0.001666583
1603833660,17.58662474,87.19346948,1276477.5,46467821.5,0.00166675
1603833720,17.77581577,87.19665335,1374035.5,52454589.5,0.001666778
1603833780,17.89662795,87.19719414,2215271,68848282.5,0.003332889
1603833840,18.04371721,87.19390332,991992,87330350.5,0.001666583
1603833900,18.19173469,87.19552263,1175447.5,72945980.5,0.001666361
1603833960,18.44900219,87.19464835,950973,89191371.5,0
1603834020,17.84690165,87.19533662,1244258.5,138822448,0.001666583
1603834080,17.28500808,87.19677347,1804971.5,96485113,0.005000417
1603834140,17.21958999,87.19717488,1885007,91624332,0
1603834200,17.65046011,87.19751648,25244253.5,98506878.5,0.001666667
1603834260,17.62791748,87.19764622,37017008,101949466.5,0.001666722
1603834320,17.38302043,87.20069021,11312568.5,70097030,0.003333167
1603834380,17.52289454,87.20204496,12580582,50829399,0.003333722
1603834440,17.50660237,87.20271498,10979028.5,47049074.5,0
1603834500,18.02686927,87.20283915,2486384,56749396.5,0.003333389
1603834560,17.57540574,87.20189899,14783398.5,64971028.5,0.003332944
1603834620,17.20599181,87.20875583,1957104.5,64361000.5,0
1603834680,16.81099363,87.20746646,888894.5,47482738,0.003333778
1603834740,16.99142688,87.20555725,1549914.5,53088140.5,0.001666889
1603834800,16.64541529,87.21468669,1578525,43342687,0.001666694
1603834860,17.25785398,87.21461219,1949444,59141748,0
1603834920,17.16003632,87.2148656,3207373.5,52041419.5,0.001666722
1603834980,16.81095953,87.21756191,1986277.5,56416837.5,0.005000417
1603835040,17.49568482,87.21657766,1906226,48279037.5,0.001666583
1603835100,17.17827517,87.21635719,2954563.5,53885999.5,0.001666222
1603835160,17.18713131,87.21727454,1831107.5,52395470,0.003334556
1603835220,17.04081032,87.21720511,2339254.5,53521694.5,0.001666583
1603835280,17.00850872,87.21105833,1496808.5,48615914,0.004999667
1603835340,17.17473498,87.20633219,1574221.5,49996394.5,0.001666806
1603835400,16.99622833,87.2089621,1228314.5,72719179.5,0.003332056
1603835460,17.27715402,87.20740666,1686577.5,58161357,0.001667445
1603835520,17.12000385,87.20753691,836850.5,51322920.5,0.003332778
1603835580,16.95584782,87.20801637,1785309,51204792,0.001666778
1603835640,16.62839126,87.20780198,821681.5,48676603.5,0.001666917
1603835700,16.85193044,87.2072835,797361,51016905,0.001666639
1603835760,17.1693698,87.20391666,1457360,54071278,0.004999667
1603835820,17.38957107,87.20954191,995848,66671540.5,0.001666806
1603835880,17.01556518,87.21050691,1376511.5,52156028.5,0.003333278
1603835940,16.88931282,87.21071876,891500.5,50480209.5,0.001666639
1603836000,17.38565425,87.21247744,24938813.5,58769149,0.003333222
1603836060,17.95706928,87.21336743,23225051,65138776.5,0.001666611
1603836120,17.3034113,87.21378556,24318528,57416006.5,0.003333833
1603836180,17.45996714,87.2140856,27556938.5,87111920.5,0.003333389
1603836240,17.1966715,87.21478096,11882965,75533721.5,0.003332889
1603836300,17.5580032,87.2143086,3498426.5,65729070.5,0.003333833
1603836360,17.15459255,87.21689544,4770221,54155198.5,0.004999333
1603836420,16.93956958,87.2212369,1820229,59102092.5,0.001666694
1603836480,17.02693819,87.22036313,2194787,38768526,0.001666639
1603836540,17.24952387,87.21882796,2330115,57711905,0
1603836600,17.40085554,87.22723669,2959431,55954771.5,0.003333556
1603836660,17.29161874,87.22536043,1313288.5,62884088.5,0.001666806
1603836720,17.43080974,87.22781599,1153606.5,58914546,0.001666639
1603836780,17.24418884,87.22814847,3853934,46945061,0
1603836840,17.34836077,87.22962536,1028915.5,59167037,0.003333389
1603836900,17.07793726,87.22946419,1757569.5,46429490.5,0
1603836960,17.05721088,87.22297227,888082,57893616.5,0.00166675
1603837020,17.52430287,87.22454849,1566199.5,79422614,0
1603837080,17.12181664,87.22395044,1886211.5,68208406.5,0.003333945
1603837140,17.25748766,87.21825727,1340964,94781365.5,0.001666222
1603837200,16.91652814,87.21880414,1348209,56953507.5,0
1603837260,17.25190346,87.21883505,1443819,56207442.5,0.001665917
1603837320,17.265478,87.21896531,1846054.5,61062993,0.001667306
1603837380,17.67483858,87.21979346,7688180,70715467,0.001666583
1603837440,17.0810625,87.21913003,918244.5,54798127.5,0
1603837500,17.07678167,87.22329106,905857,53614873,0
1603837560,17.19445766,87.21901042,1181316,52132520,0.001666528
1603837620,17.25939882,87.22227488,1880323.5,57916886,0.003333556
1603837680,17.01120134,87.22050504,1650075,58407156,0.003333167
1603837740,16.64363187,87.21989026,1067329.5,53745176.5,0.0016665
1603837800,17.56455449,87.22259316,24859233.5,81188932.5,0.001667083
1603837860,16.63609991,87.22497625,21894605.5,61244625.5,0.001665945
1603837920,16.89118587,87.22539438,13505288,56856408.5,0.001667195
1603837980,16.94790545,87.2296208,4382224.5,52804097.5,0.001666778
1603838040,16.5418265,87.23273878,19948140.5,54268714.5,0.003333667
1603838100,17.39325269,87.23418881,2886563,64414924,0.003332556
1603838160,17.19902382,87.23249754,4395144.5,59527741,0.003333611
1603838220,16.67129537,87.23675182,2730091.5,62918860,0.001666806
1603838280,16.4160384,87.23988704,4069167.5,53050757,0.004999667
1603838340,16.75253964,87.23751612,1357853.5,50573392.5,0
1603838400,17.07941863,87.24190269,5822256.5,68442179,0
1603838460,17.03554335,87.23463684,3499008.5,65484628,0.001666944
1603838520,17.10274588,87.23593634,1493732.5,67933316.5,0
1603838580,16.61131888,87.23410822,2833682.5,51668353.5,0.003333889
1603838640,16.80595593,87.23515228,5647921,54858867,0.003332556
1603838700,17.1579033,87.23572956,1210508.5,65929208,0.001666833
1603838760,16.73287283,87.22746932,1465647,63424005,0
1603838820,16.55209429,87.2296137,1490871,54295768,0.001666972
1603838880,16.57207121,87.22916465,1649889.5,54001407.5,0.003333222
1603838940,16.71825927,87.23041955,936608,49157678,0.001666389
1603839000,16.7187648,87.23150416,1397469.5,56885865,0.001666778
1603839060,17.47220225,87.22903237,1287782.5,57920456.5,0.001666556
1603839120,17.77422432,87.23004247,1742430,62933511,0.001667056
1603839180,16.98760459,87.22999078,1866585,55613171.5,0.001666472
1603839240,16.77399634,87.23124466,1266079,50340555.5,0.003333833
1603839300,16.83673718,87.23354109,1519499.5,61771826,0.003332722
1603839360,16.84615197,87.23458768,851438,54217225,0
1603839420,17.32421685,87.23614313,1028930,82000364.5,0.001666639
1603839480,17.32302186,87.23625868,1409189,82356277.5,0.001666889
1603839540,17.04349339,87.23680555,1579004.5,56211065,0.003333222
1603839600,17.33204874,87.23552784,49311326,66960384.5,0.001666806
1603839660,17.31110158,87.23582281,21483956,111491005.5,0.003333056
1603839720,16.95319579,87.24217232,14829662,58793108,0
1603839780,17.10332831,87.25145177,4084056.5,52717088,0
1603839840,16.75809105,87.25183088,26146062,53456431,0.0016665
1603839900,17.38129371,87.25530162,59622517.5,101297707,0.001666917
1603839960,17.48197724,87.25407155,7046690.5,88031844.5,0.003332778
1603840020,17.1555988,87.25590778,1665454.5,53745315,0
1603840080,17.22800369,87.25153946,946287,65026545,0.00499925
1603840140,17.10022025,87.24643167,2833892,56962907,0
1603840200,17.36687939,87.24737842,969876.5,55478288,0
1603840260,17.50296904,87.23705491,3248783.5,76913047.5,0.001666528
1603840320,17.56993496,87.23599767,15284777,63340265.5,0
1603840380,17.35212044,87.23966809,4319257,92255090,0.001666806
1603840440,17.34212463,87.23842232,1815679,62207785,0.00499975
1603840500,17.28636858,87.23961285,1148025,65262992.5,0.001666722
1603840560,18.11983431,87.24045367,1874772,63619503.5,0.001666639
1603840620,18.52812061,87.24072736,1222410.5,110650285,0.001666722
